text,condition,record_type,clean_text
Barium study performed to evaluate motility and rule out partial obstruction.,Digestive Issues,Clinical Notes,Barium study performed to evaluate motility and rule out partial obstruction.
Assess deep pain sensation in paralyzed limbs.,Mobility Problems,Clinical Notes,Assess deep pain sensation in paralyzed limbs.
Implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals.,Mobility Problems,Clinical Notes,Implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals.
"Rule out extra-GI causes of vomiting (renal condition, pancreatitis, DKA).",Digestive Issues,Clinical Notes,"Rule out extra-GI causes of vomiting (renal condition, pancreatitis, DKA)."
Baermann technique used to recover lungworm larvae from feces.,Parasites,Clinical Notes,Baermann technique used to recover lungworm larvae from feces.
"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites.",Parasites,Clinical Notes,"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites."
My ferret scratches at his ears until they bleed.,Ear Infections,Owner Observation,My ferret scratches at his ears until they bleed.
Fine needle aspirate (FNA) performed on skin nodule; cytology pending.,Skin Irritations,Clinical Notes,Fine needle aspirate (FNA) performed on skin nodule; cytology pending.
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections,Owner Observation,Cat seems painful when she opens her mouth wide to yawn.
"Rule out endocrinopathy (hypothyroidism, Cushing's) contributing to chronic skin/ear issues.",Ear Infections,Clinical Notes,"Rule out endocrinopathy (hypothyroidism, Cushing's) contributing to chronic skin/ear issues."
Use imidacloprid/moxidectin (Advantage Multi) for heartworm/flea/mite/intestinal parasite control.,Parasites,Clinical Notes,Use imidacloprid/moxidectin (Advantage Multi) for heartworm/flea/mite/intestinal parasite control.
"Advise owner to monitor for worsening signs (increased pain, neurological deficits).",Ear Infections,Clinical Notes,"Advise owner to monitor for worsening signs (increased pain, neurological deficits)."
Consider referral to veterinary dermatologist if no improvement.,Skin Irritations,Clinical Notes,Consider referral to veterinary dermatologist if no improvement.
"My dog has developed sudden, severe abdominal distension.",Digestive Issues,Owner Observation,"My dog has developed sudden, severe abdominal distension."
Measure thigh circumference bilaterally to quantify muscle atrophy.,Mobility Problems,Clinical Notes,Measure thigh circumference bilaterally to quantify muscle atrophy.
Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,Digestive Issues,Clinical Notes,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.
Guinea pig is scratching itself raw.,Parasites,Owner Observation,Guinea pig is scratching itself raw.
Rabbit has a broken leg after an accident.,Mobility Problems,Owner Observation,Rabbit has a broken leg after an accident.
Cat has scaly patches on her ear tips.,Skin Irritations,Owner Observation,Cat has scaly patches on her ear tips.
My dog has hip dysplasia.,Mobility Problems,Owner Observation,My dog has hip dysplasia.
"Myiasis present; clip, clean wound, manually remove all visible larvae.",Parasites,Clinical Notes,"Myiasis present; clip, clean wound, manually remove all visible larvae."
"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",Mobility Problems,Clinical Notes,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically."
Puppy has redness and irritation in his skin folds.,Skin Irritations,Owner Observation,Puppy has redness and irritation in his skin folds.
Dog's ear hematoma was drained but filled right back up.,Ear Infections,Owner Observation,Dog's ear hematoma was drained but filled right back up.
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues,Owner Observation,"My cat vomited, then had diarrhea, now just hiding."
Cat vomits immediately after drinking water.,Digestive Issues,Owner Observation,Cat vomits immediately after drinking water.
Dog has developed bald patches on his face and legs.,Parasites,Owner Observation,Dog has developed bald patches on his face and legs.
"Poor coat quality, excessive scaling (seborrhea sicca); evaluate diet, check thyroid.",Skin Irritations,Clinical Notes,"Poor coat quality, excessive scaling (seborrhea sicca); evaluate diet, check thyroid."
"My dog has crusty ear edges and is losing hair there, very itchy.",Parasites,Owner Observation,"My dog has crusty ear edges and is losing hair there, very itchy."
