text,condition,record_type,clean_text
Barium study performed to evaluate motility and rule out partial obstruction.,Digestive Issues,Clinical Notes,Barium study performed to evaluate motility and rule out partial obstruction.
Assess deep pain sensation in paralyzed limbs.,Mobility Problems,Clinical Notes,Assess deep pain sensation in paralyzed limbs.
Implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals.,Mobility Problems,Clinical Notes,Implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals.
"Rule out extra-GI causes of vomiting (renal condition, pancreatitis, DKA).",Digestive Issues,Clinical Notes,"Rule out extra-GI causes of vomiting (renal condition, pancreatitis, DKA)."
Baermann technique used to recover lungworm larvae from feces.,Parasites,Clinical Notes,Baermann technique used to recover lungworm larvae from feces.
"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites.",Parasites,Clinical Notes,"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites."
Fine needle aspirate (FNA) performed on skin nodule; cytology pending.,Skin Irritations,Clinical Notes,Fine needle aspirate (FNA) performed on skin nodule; cytology pending.
"Rule out endocrinopathy (hypothyroidism, Cushing's) contributing to chronic skin/ear issues.",Ear Infections,Clinical Notes,"Rule out endocrinopathy (hypothyroidism, Cushing's) contributing to chronic skin/ear issues."
Use imidacloprid/moxidectin (Advantage Multi) for heartworm/flea/mite/intestinal parasite control.,Parasites,Clinical Notes,Use imidacloprid/moxidectin (Advantage Multi) for heartworm/flea/mite/intestinal parasite control.
"Advise owner to monitor for worsening signs (increased pain, neurological deficits).",Ear Infections,Clinical Notes,"Advise owner to monitor for worsening signs (increased pain, neurological deficits)."
Consider referral to veterinary dermatologist if no improvement.,Skin Irritations,Clinical Notes,Consider referral to veterinary dermatologist if no improvement.
Measure thigh circumference bilaterally to quantify muscle atrophy.,Mobility Problems,Clinical Notes,Measure thigh circumference bilaterally to quantify muscle atrophy.
Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,Digestive Issues,Clinical Notes,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.
"Myiasis present; clip, clean wound, manually remove all visible larvae.",Parasites,Clinical Notes,"Myiasis present; clip, clean wound, manually remove all visible larvae."
"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",Mobility Problems,Clinical Notes,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically."
"Poor coat quality, excessive scaling (seborrhea sicca); evaluate diet, check thyroid.",Skin Irritations,Clinical Notes,"Poor coat quality, excessive scaling (seborrhea sicca); evaluate diet, check thyroid."
"Bacterial culture grew Staphylococcus pseudintermedius, sensitive to clindamycin.",Skin Irritations,Clinical Notes,"Bacterial culture grew Staphylococcus pseudintermedius, sensitive to clindamycin."
"Rule out toxin ingestion (plants, chemicals, medications).",Digestive Issues,Clinical Notes,"Rule out toxin ingestion (plants, chemicals, medications)."
"Provide critical care feeding (Oxbow Critical Care), SQ fluids, analgesia (meloxicam), pro-motility agent (cisapride) for rabbit GI stasis.",Digestive Issues,Clinical Notes,"Provide critical care feeding (Oxbow Critical Care), SQ fluids, analgesia (meloxicam), pro-motility agent (cisapride) for rabbit GI stasis."
Advise monthly heartworm prevention year-round.,Parasites,Clinical Notes,Advise monthly heartworm prevention year-round.
Color dilution alopecia present in blue Doberman; manage secondary pyoderma.,Skin Irritations,Clinical Notes,Color dilution alopecia present in blue Doberman; manage secondary pyoderma.
Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.,Mobility Problems,Clinical Notes,Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.
Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.,Parasites,Clinical Notes,Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.
Treat generalized demodicosis with isoxazoline or high-dose ivermectin/moxidectin protocols.,Parasites,Clinical Notes,Treat generalized demodicosis with isoxazoline or high-dose ivermectin/moxidectin protocols.
