text,condition,record_type,clean_text
My ferret scratches at his ears until they bleed.,Ear Infections,Owner Observation,My ferret scratches at his ears until they bleed.
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections,Owner Observation,Cat seems painful when she opens her mouth wide to yawn.
"My dog has developed sudden, severe abdominal distension.",Digestive Issues,Owner Observation,"My dog has developed sudden, severe abdominal distension."
Guinea pig is scratching itself raw.,Parasites,Owner Observation,Guinea pig is scratching itself raw.
Rabbit has a broken leg after an accident.,Mobility Problems,Owner Observation,Rabbit has a broken leg after an accident.
Cat has scaly patches on her ear tips.,Skin Irritations,Owner Observation,Cat has scaly patches on her ear tips.
My dog has hip dysplasia.,Mobility Problems,Owner Observation,My dog has hip dysplasia.
Puppy has redness and irritation in his skin folds.,Skin Irritations,Owner Observation,Puppy has redness and irritation in his skin folds.
Dog's ear hematoma was drained but filled right back up.,Ear Infections,Owner Observation,Dog's ear hematoma was drained but filled right back up.
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues,Owner Observation,"My cat vomited, then had diarrhea, now just hiding."
Cat vomits immediately after drinking water.,Digestive Issues,Owner Observation,Cat vomits immediately after drinking water.
Dog has developed bald patches on his face and legs.,Parasites,Owner Observation,Dog has developed bald patches on his face and legs.
"My dog has crusty ear edges and is losing hair there, very itchy.",Parasites,Owner Observation,"My dog has crusty ear edges and is losing hair there, very itchy."
"The dog's armpits are dark, thickened, and itchy.",Skin Irritations,Owner Observation,"The dog's armpits are dark, thickened, and itchy."
"Found a long, flat, white worm in my dog's fresh stool.",Parasites,Owner Observation,"Found a long, flat, white worm in my dog's fresh stool."
My cat has inflamed nail beds.,Skin Irritations,Owner Observation,My cat has inflamed nail beds.
My puppy seems to get an upset stomach from car rides.,Digestive Issues,Owner Observation,My puppy seems to get an upset stomach from car rides.
My dog has thickened skin folds around his muzzle that smell bad.,Skin Irritations,Owner Observation,My dog has thickened skin folds around his muzzle that smell bad.
My rabbit's dewlap is constantly wet and the skin underneath is red.,Skin Irritations,Owner Observation,My rabbit's dewlap is constantly wet and the skin underneath is red.
Puppy has diarrhea after switching foods too quickly.,Digestive Issues,Owner Observation,Puppy has diarrhea after switching foods too quickly.
My dog has a skin infection secondary to flea bites.,Parasites,Owner Observation,My dog has a skin infection secondary to flea bites.
My cockatiel is listless and has abnormal droppings.,Parasites,Owner Observation,My cockatiel is listless and has abnormal droppings.
My cat's hearing seems diminished.,Ear Infections,Owner Observation,My cat's hearing seems diminished.
"Ferret has pale gums, possibly flea-induced anemia.",Parasites,Owner Observation,"Ferret has pale gums, possibly flea-induced anemia."
Cat vomited 5 times in the past few hours.,Digestive Issues,Owner Observation,Cat vomited 5 times in the past few hours.
The ear canal seems narrowed and swollen shut.,Ear Infections,Owner Observation,The ear canal seems narrowed and swollen shut.
My cat vomited what looked like a roundworm.,Digestive Issues,Owner Observation,My cat vomited what looked like a roundworm.
Cat has nerve damage affecting her leg.,Mobility Problems,Owner Observation,Cat has nerve damage affecting her leg.
"Ferret has dark, waxy debris in ears.",Ear Infections,Owner Observation,"Ferret has dark, waxy debris in ears."
Ferret is tilting its head.,Ear Infections,Owner Observation,Ferret is tilting its head.
"My dog's skin has a generally unpleasant, strong odor.",Skin Irritations,Owner Observation,"My dog's skin has a generally unpleasant, strong odor."
My dog has water trapped in his ear after a bath.,Ear Infections,Owner Observation,My dog has water trapped in his ear after a bath.
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites,Owner Observation,"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite."
My dog has persistent itching despite flea treatment.,Skin Irritations,Owner Observation,My dog has persistent itching despite flea treatment.
Rabbit is scratching vigorously at the base of its ears.,Ear Infections,Owner Observation,Rabbit is scratching vigorously at the base of its ears.
