condition,keyword,score,rank
Digestive Issues,vomiting,0.09162146298116973,1
Digestive Issues,diarrhea,0.09137722860520686,2
Digestive Issues,vomited,0.08015936099062276,3
Digestive Issues,ate,0.07764811242954194,4
Digestive Issues,food,0.07391961943756545,5
Digestive Issues,vomits,0.07154466535840122,6
Digestive Issues,undigested,0.07154466535840122,7
Digestive Issues,foam,0.06780094669591999,8
Digestive Issues,drinking,0.06780094669591999,9
Digestive Issues,producing,0.06780094669591999,10
Digestive Issues,soft,0.06657792405869205,11
Digestive Issues,stool,0.06471042862296407,12
Digestive Issues,stools,0.06471042862296407,13
Digestive Issues,drooling,0.06337306732810248,14
Digestive Issues,pellets,0.06337306732810248,15
Digestive Issues,now vomiting,0.06337306732810248,16
Digestive Issues,diarrhea after,0.06337306732810248,17
Digestive Issues,droppings,0.060338182505634746,18
Digestive Issues,after eating,0.060338182505634746,19
Digestive Issues,abdomen,0.05795378096229805,20
Digestive Issues,hairball,0.05795378096229805,21
Digestive Issues,intermittent,0.05795378096229805,22
Digestive Issues,passing,0.05795378096229805,23
Digestive Issues,hasn,0.05795378096229805,24
Digestive Issues,swallowing,0.05795378096229805,25
Digestive Issues,breath,0.05795378096229805,26
Digestive Issues,undigested food,0.05795378096229805,27
Digestive Issues,straining,0.05795378096229805,28
Digestive Issues,stomach,0.05795378096229805,29
Digestive Issues,days,0.05772178552931324,30
Digestive Issues,only,0.05772178552931324,31
Digestive Issues,uncomfortable,0.05772178552931324,32
Digestive Issues,appetite,0.0547013768847929,33
Digestive Issues,hamster,0.0520018458480684,34
Digestive Issues,eating,0.05161793406650911,35
Digestive Issues,stopped,0.05112899169103337,36
Digestive Issues,blood,0.05112899169103337,37
Digestive Issues,nauseous,0.05096710568648416,38
Digestive Issues,nothing,0.05096710568648416,39
Digestive Issues,pawing,0.05096710568648416,40
Ear Infections,ear,0.087939868113966,1
Ear Infections,ear infection,0.0814948229242788,2
Ear Infections,canal,0.0794600548593727,3
Ear Infections,ear canal,0.0794600548593727,4
Ear Infections,ears,0.07898054227958376,5
Ear Infections,wax,0.0688903463060347,6
Ear Infections,allergies,0.06528552023215871,7
Ear Infections,smell,0.06230966089667309,8
Ear Infections,ears ear,0.06102191592955678,9
Ear Infections,waxy,0.06102191592955678,10
Ear Infections,both ears,0.06102191592955678,11
Ear Infections,side,0.06032183081275961,12
Ear Infections,mites,0.06032183081275961,13
Ear Infections,infection,0.05699222673239268,14
Ear Infections,drops,0.05580368599442997,15
