query,true_condition,animal_filter,top1_condition,retrieved_conditions,correct_rank,hit_at_1,hit_at_3,hit_at_5,top1_text,top1_score
My ferret scratches at his ears until they bleed.,Ear Infections,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Flush ears gently under sedation due to pain and debris.,0.6185632944107056
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Pain elicited on opening mouth fully; may indicate TMJ involvement or referred pain from otitis media.,0.6252292394638062
"My dog has developed sudden, severe abdominal distension.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Ear Infections', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Recommend highly digestible therapeutic diet (e.g., Hill's i/d, Royal Canin GI).",0.6475435495376587
Guinea pig is scratching itself raw.,Parasites,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",,False,False,False,"Pododermatitis in guinea pig; assess husbandry (substrate, cleanliness), rule out infection/scurvy.",0.5355255603790283
Rabbit has a broken leg after an accident.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Digestive Issues', 'Ear Infections', 'Digestive Issues']",2.0,False,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6399254202842712
Cat has scaly patches on her ear tips.,Skin Irritations,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Ear Infections']",2.0,False,True,True,Nasopharyngeal polyp visualized extending into external ear canal in young cat.,0.675858736038208
My dog has hip dysplasia.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Mobility Problems', 'Digestive Issues', 'Skin Irritations']",1.0,True,True,True,Hip dysplasia confirmed; start anti-inflammatory.,0.7184140682220459
Puppy has redness and irritation in his skin folds.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Skin fragility noted; test for FIV/FeLV in feline patient.,0.6638826131820679
Dog's ear hematoma was drained but filled right back up.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Parasites', 'Parasites', 'Ear Infections']",1.0,True,True,True,Cleaned ears thoroughly with ceruminolytic agent; owner instructed on home cleaning.,0.6322107315063477
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.6631761789321899
Cat vomits immediately after drinking water.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Vomiting post-meal; test for food intolerance.,0.6497019529342651
Dog has developed bald patches on his face and legs.,Parasites,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Mobility Problems']",,False,False,False,Psychogenic alopecia diagnosed in feline patient; behavioral modification and medication discussed.,0.6935724020004272
"My dog has crusty ear edges and is losing hair there, very itchy.",Parasites,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",,False,False,False,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.6451228857040405
"The dog's armpits are dark, thickened, and itchy.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Pruritic lesions on tail; anti-itch spray prescribed.,0.6593087911605835
"Found a long, flat, white worm in my dog's fresh stool.",Parasites,,Parasites,"['Parasites', 'Digestive Issues', 'Parasites', 'Digestive Issues', 'Parasites']",1.0,True,True,True,Hookworm eggs in stool; prescribe fenbendazole.,0.6179476976394653
My cat has inflamed nail beds.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Parasites']",1.0,True,True,True,Plasma cell pododermatitis ('pillow foot') diagnosed in cat.,0.663092315196991
My puppy seems to get an upset stomach from car rides.,Digestive Issues,,Ear Infections,"['Ear Infections', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Skin Irritations']",2.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6520235538482666
My dog has thickened skin folds around his muzzle that smell bad.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Parasites', 'Skin Irritations']",1.0,True,True,True,Canine facial eosinophilic furunculosis suspected based on acute onset muzzle swelling/lesions.,0.6558308005332947
My rabbit's dewlap is constantly wet and the skin underneath is red.,Skin Irritations,,Parasites,"['Parasites', 'Digestive Issues', 'Parasites', 'Mobility Problems', 'Parasites']",,False,False,False,Ensure rabbit environment is clean to prevent flystrike.,0.6121387481689453
Puppy has diarrhea after switching foods too quickly.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Advise slow transition when changing pet foods.,0.7255001068115234
My dog has a skin infection secondary to flea bites.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Treat secondary skin infections resulting from parasite infestation.,0.7548059225082397
My cockatiel is listless and has abnormal droppings.,Parasites,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Skin Irritations', 'Digestive Issues', 'Digestive Issues']",,False,False,False,Vomiting and lethargy; check for intoxication.,0.6068686246871948
My cat's hearing seems diminished.,Ear Infections,,Ear Infections,"['Ear Infections', 'Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Nasopharyngeal polyp visualized extending into external ear canal in young cat.,0.6660671830177307
"Ferret has pale gums, possibly flea-induced anemia.",Parasites,,Parasites,"['Parasites', 'Parasites', 'Skin Irritations', 'Skin Irritations', 'Parasites']",1.0,True,True,True,"Anemia (low PCV) noted, likely secondary to heavy hookworm or flea burden.",0.6688201427459717
Cat vomited 5 times in the past few hours.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Patient presents for acute onset vomiting (x5 today) and anorexia. Mild dehydration noted (tacky MM, CRT 2s).",0.6768264770507812
The ear canal seems narrowed and swollen shut.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Check for ticks within the ear canal.,0.7199423909187317
My cat vomited what looked like a roundworm.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Parasites', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.652604341506958
Cat has nerve damage affecting her leg.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations']",4.0,False,False,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6652172803878784
"Ferret has dark, waxy debris in ears.",Ear Infections,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",2.0,False,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.6370798349380493
Ferret is tilting its head.,Ear Infections,,Mobility Problems,"['Mobility Problems', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations', 'Skin Irritations']",,False,False,False,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.5555964708328247
"My dog's skin has a generally unpleasant, strong odor.",Skin Irritations,,Parasites,"['Parasites', 'Digestive Issues', 'Ear Infections', 'Parasites', 'Parasites']",,False,False,False,Advise bathing pet with appropriate shampoo to remove flea dirt/scales.,0.6623082160949707
My dog has water trapped in his ear after a bath.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.7565369606018066
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites,,Parasites,"['Parasites', 'Parasites', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Consider parasite resistance if treatment fails; switch drug class.,0.6608219146728516
My dog has persistent itching despite flea treatment.,Skin Irritations,,Parasites,"['Parasites', 'Skin Irritations', 'Digestive Issues', 'Ear Infections', 'Skin Irritations']",2.0,False,True,True,Dog presented with severe flea infestation and secondary anemia (PCV 22%).,0.7027701139450073
Rabbit is scratching vigorously at the base of its ears.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Mobility Problems', 'Ear Infections', 'Digestive Issues']",1.0,True,True,True,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.6641026735305786
Cat has lost hair around the outside of her ears from scratching.,Ear Infections,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Ear Infections']",4.0,False,False,True,Trichogram reveals damaged hair shafts consistent with excessive licking.,0.6252695322036743
Guinea pig has sores on the bottom of its feet (bumblefoot).,Skin Irritations,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",3.0,False,True,True,"Severe ulcerative pododermatitis (bumblefoot) in guinea pig; debride, bandage, systemic antibiotics, improve husbandry.",0.7222460508346558
My guinea pig has developed scaly patches around its eyes.,Skin Irritations,,Parasites,"['Parasites', 'Skin Irritations', 'Parasites', 'Skin Irritations', 'Mobility Problems']",2.0,False,True,True,"Trixacarus caviae infestation in guinea pig causing intense pruritus, scaling, seizures. Treat with ivermectin/selamectin.",0.636773943901062
"My dog ate greasy leftovers, now has painful belly and vomiting.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Parasites']",1.0,True,True,True,"Chronic intermittent vomiting in feline; consider IBD, food allergy, lymphoma.",0.6822869777679443
"Dog's ears look greasy, and the fur below them is stained and sticky.",Ear Infections,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Ear Infections', 'Parasites', 'Skin Irritations']",2.0,False,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.7141114473342896
Hamster has hair loss and redness on its underside.,Skin Irritations,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations']",3.0,False,True,True,"Wet tail in hamster; guarded prognosis, provide heat support, antibiotics, fluids.",0.6123307943344116
Ferret's ears seem painful to touch.,Ear Infections,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Mobility Problems']",1.0,True,True,True,Flush ears gently under sedation due to pain and debris.,0.6170707941055298
My dog's ear infection requires long-term management.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Long-term maintenance therapy with weekly ear cleaner/medication may be required.,0.7439236640930176
Cat has stopped perching in high places.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Digestive Issues', 'Ear Infections']",,False,False,False,Excoriations on tail; rule out flea hypersensitivity.,0.5784465074539185
Rabbit has hair loss and scaling around the eyes.,Skin Irritations,,Mobility Problems,"['Mobility Problems', 'Digestive Issues', 'Ear Infections', 'Skin Irritations', 'Parasites']",4.0,False,False,True,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.6555958986282349
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Mobility Problems']",4.0,False,False,True,"Skin fragility syndrome in older cat; handle gently, check for underlying conditions (hyperadrenocorticism, diabetes).",0.6104579567909241
My dog is eating grass obsessively and then vomiting foam.,Digestive Issues,,Ear Infections,"['Ear Infections', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",2.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6897845268249512
My guinea pig has bald spots appearing behind its ears.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems']",1.0,True,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.681098222732544
Cat cries out in pain when yawning or eating.,Ear Infections,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Ear Infections', 'Ear Infections']",3.0,False,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.5844669342041016
My dog's abdomen became suddenly taut and enlarged.,Digestive Issues,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Mobility Problems', 'Digestive Issues', 'Digestive Issues']",4.0,False,False,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6715530753135681
Cat struggles to climb onto the sofa.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Ear Infections']",,False,False,False,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.582663357257843
My hamster has diarrhea and isn't acting like himself.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.614647388458252
Cat has crusty sores on the edges of her ear flaps.,Ear Infections,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",2.0,False,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.678663969039917
My dog yelps when jumping off the couch.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Ear Infections', 'Parasites', 'Ear Infections', 'Skin Irritations']",,False,False,False,"Constipated feline; administer Miralax/lactulose and recommend increasing water intake (wet food, fountain).",0.5794997215270996
Cat keeps rubbing her head/ears against the furniture.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Demonstrate ear cleaning technique to owner.,0.5970277786254883
Cat is losing weight but eating more than usual.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Ear Infections']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.7167783379554749
"Dog has bumps and scabs, vet suspected flea allergy dermatitis.",Parasites,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Parasites', 'Ear Infections', 'Skin Irritations']",3.0,False,True,True,Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,0.7510144114494324
My cat's ear mites seem resistant to the usual treatments.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Ear Infections', 'Skin Irritations', 'Parasites']",1.0,True,True,True,Ear mites in canal; clean and apply selamectin.,0.6706730127334595
"Dog has flea allergy, gets severe reaction from one bite.",Parasites,,Parasites,"['Parasites', 'Skin Irritations', 'Skin Irritations', 'Parasites', 'Skin Irritations']",1.0,True,True,True,Dog presented with severe flea infestation and secondary anemia (PCV 22%).,0.7220546007156372
My cat is drooling excessively and pawing at her mouth.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Ear Infections', 'Ear Infections', 'Digestive Issues', 'Skin Irritations']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.6583412289619446
My older dog seems painful and slow when getting up after naps.,Mobility Problems,,Ear Infections,"['Ear Infections', 'Mobility Problems', 'Ear Infections', 'Mobility Problems', 'Digestive Issues']",2.0,False,True,True,"Advise owner to monitor for worsening signs (increased pain, neurological deficits).",0.6436581611633301
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites,,Parasites,"['Parasites', 'Digestive Issues', 'Parasites', 'Parasites', 'Ear Infections']",1.0,True,True,True,Discuss potential for parasite transmission between household pets.,0.5820804834365845
"My cat brought in a mouse, now I'm worried about worms.",Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Parasites', 'Parasites']",1.0,True,True,True,Discuss risk of parasite exchange between different pet species in the household.,0.6085110902786255
My dog has muscle atrophy.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Ear Infections', 'Skin Irritations', 'Mobility Problems', 'Mobility Problems']",1.0,True,True,True,"Severe, symmetrical epaxial and gluteal muscle atrophy noted.",0.6617534160614014
