text,condition,record_type
Barium study performed to evaluate motility and rule out partial obstruction.,Digestive Issues,Clinical Notes
Assess deep pain sensation in paralyzed limbs.,Mobility Problems,Clinical Notes
Implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals.,Mobility Problems,Clinical Notes
"Rule out extra-GI causes of vomiting (renal condition, pancreatitis, DKA).",Digestive Issues,Clinical Notes
Baermann technique used to recover lungworm larvae from feces.,Parasites,Clinical Notes
"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites.",Parasites,Clinical Notes
My ferret scratches at his ears until they bleed.,Ear Infections,Owner Observation
Fine needle aspirate (FNA) performed on skin nodule; cytology pending.,Skin Irritations,Clinical Notes
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections,Owner Observation
"Rule out endocrinopathy (hypothyroidism, Cushing's) contributing to chronic skin/ear issues.",Ear Infections,Clinical Notes
Use imidacloprid/moxidectin (Advantage Multi) for heartworm/flea/mite/intestinal parasite control.,Parasites,Clinical Notes
"Advise owner to monitor for worsening signs (increased pain, neurological deficits).",Ear Infections,Clinical Notes
Consider referral to veterinary dermatologist if no improvement.,Skin Irritations,Clinical Notes
"My dog has developed sudden, severe abdominal distension.",Digestive Issues,Owner Observation
Measure thigh circumference bilaterally to quantify muscle atrophy.,Mobility Problems,Clinical Notes
Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,Digestive Issues,Clinical Notes
Guinea pig is scratching itself raw.,Parasites,Owner Observation
Rabbit has a broken leg after an accident.,Mobility Problems,Owner Observation
Cat has scaly patches on her ear tips.,Skin Irritations,Owner Observation
My dog has hip dysplasia.,Mobility Problems,Owner Observation
"Myiasis present; clip, clean wound, manually remove all visible larvae.",Parasites,Clinical Notes
"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",Mobility Problems,Clinical Notes
Puppy has redness and irritation in his skin folds.,Skin Irritations,Owner Observation
Dog's ear hematoma was drained but filled right back up.,Ear Infections,Owner Observation
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues,Owner Observation
Cat vomits immediately after drinking water.,Digestive Issues,Owner Observation
Dog has developed bald patches on his face and legs.,Parasites,Owner Observation
"Poor coat quality, excessive scaling (seborrhea sicca); evaluate diet, check thyroid.",Skin Irritations,Clinical Notes
"My dog has crusty ear edges and is losing hair there, very itchy.",Parasites,Owner Observation
"The dog's armpits are dark, thickened, and itchy.",Skin Irritations,Owner Observation
"Bacterial culture grew Staphylococcus pseudintermedius, sensitive to clindamycin.",Skin Irritations,Clinical Notes
"Rule out toxin ingestion (plants, chemicals, medications).",Digestive Issues,Clinical Notes
"Found a long, flat, white worm in my dog's fresh stool.",Parasites,Owner Observation
"Provide critical care feeding (Oxbow Critical Care), SQ fluids, analgesia (meloxicam), pro-motility agent (cisapride) for rabbit GI stasis.",Digestive Issues,Clinical Notes
My cat has inflamed nail beds.,Skin Irritations,Owner Observation
My puppy seems to get an upset stomach from car rides.,Digestive Issues,Owner Observation
My dog has thickened skin folds around his muzzle that smell bad.,Skin Irritations,Owner Observation
Advise monthly heartworm prevention year-round.,Parasites,Clinical Notes
My rabbit's dewlap is constantly wet and the skin underneath is red.,Skin Irritations,Owner Observation
Puppy has diarrhea after switching foods too quickly.,Digestive Issues,Owner Observation
My dog has a skin infection secondary to flea bites.,Parasites,Owner Observation
Color dilution alopecia present in blue Doberman; manage secondary pyoderma.,Skin Irritations,Clinical Notes
My cockatiel is listless and has abnormal droppings.,Parasites,Owner Observation
